0 1 2
1 5 461
2 8 464
3 11 467
4 14 470
6 17 473
7 21 477
9 25 481
10 29 485
12 32 488
13 35 491
15 39 495
16 43 499
18 47 503
19 50 506
20 53 509
22 59 515
23 62 518
24 65 521
26 68 524
27 71 527
28 75 531
30 79 535
31 83 539
33 86 542
34 89 545
36 93 549
37 97 553
38 101 557
40 104 560
41 107 563
42 111 567
44 115 571
45 119 575
46 122 578
48 125 581
49 131 587
51 134 590
52 137 593
54 140 596
55 143 599
56 147 603
57 151 607
58 155 611
60 158 614
61 161 617
63 165 621
64 169 625
66 173 629
67 176 632
69 179 635
70 183 639
72 187 643
73 191 647
74 194 650
76 197 653
77 203 659
78 206 662
80 209 665
81 212 668
82 215 671
84 219 675
85 223 679
87 227 683
88 230 686
90 233 689
91 237 693
92 241 697
94 245 701
95 248 704
96 251 707
98 255 711
99 259 715
100 263 719
102 266 722
103 269 725
105 275 731
106 278 734
108 281 737
109 284 740
110 287 743
112 291 747
113 295 751
114 299 755
116 302 758
117 305 761
118 309 765
120 313 769
121 317 773
123 320 776
124 323 779
126 327 783
127 331 787
128 335 791
129 338 794
130 341 797
132 347 803
133 350 806
135 353 809
136 356 812
138 359 815
139 365 821
141 368 824
142 371 827
144 374 830
145 377 833
146 381 837
148 385 841
149 389 845
150 392 848
152 395 851
153 399 855
154 403 859
156 407 863
157 410 866
159 413 869
160 419 875
162 422 878
163 425 881
164 428 884
166 431 887
167 459 915
168 465 921
170 471 927
171 479 935
172 483 939
174 489 945
175 497 953
177 501 957
178 507 963
180 513 969
181 519 975
182 525 981
184 533 989
185 537 993
186 543 999
188 551 1007
189 555 1011
190 561 1017
192 569 1025
193 573 1029
195 579 1035
196 585 1041
198 591 1047
199 597 1053
200 605 1061
201 609 1065
202 615 1071
204 623 1079
205 627 1083
207 633 1089
208 641 1097
210 645 1101
211 651 1107
213 657 1113
214 663 1119
216 669 1125
217 677 1133
218 681 1137
220 687 1143
221 695 1151
222 699 1155
224 705 1161
225 713 1169
226 717 1173
228 723 1179
229 729 1185
231 735 1191
232 741 1197
234 749 1205
235 753 1209
236 759 1215
238 767 1223
239 771 1227
240 777 1233
242 785 1241
243 789 1245
244 795 1251
246 801 1257
247 807 1263
249 813 1269
